"match_id","batting","bowling","winner","dl","target","head_to_head","home_ground_advantage","batting_team_points","bowling_team_points","chase_win_perc","chase_win_perc_bat","defense_win_perc_bowl","first_inng_avg"
121,11,6,11,0,101,0.357142857142857,0,0,0,0.285714285714286,0.506493506493506,0.414634146341463,139.428571428571
122,10,1,1,0,179,0.4,0,2,0,0,0.516129032258065,0.568181818181818,159
123,6,4,6,1,158,0.705882352941177,0,0,0,0.133333333333333,0.610526315789474,0.417582417582418,152
124,10,11,11,0,184,0.411764705882353,0,2,2,0.142857142857143,0.516129032258065,0.446601941747573,139.428571428571
125,1,2,2,0,189,0.75,0,2,2,0.0666666666666667,0.648648648648649,0.368421052631579,152
126,6,8,8,0,150,0.529411764705882,0,2,0,0,0.610526315789474,0.432835820895522,139.428571428571
127,4,10,4,0,168,0.538461538461538,0,0,2,0.133333333333333,0.511904761904762,0.419753086419753,152
128,7,11,11,0,168,0.545454545454545,0,2,4,0,0.6,0.446601941747573,152
129,2,10,2,0,149,0.444444444444444,0,4,2,0.142857142857143,0.494736842105263,0.419753086419753,159
130,8,4,4,0,139,0.4,0,1,2,0.142857142857143,0.597402597402597,0.417582417582418,139.428571428571
131,11,1,11,0,165,0.384615384615385,0,6,2,0.133333333333333,0.506493506493506,0.568181818181818,152
132,6,7,7,0,187,0.272727272727273,0,3,2,0,0.610526315789474,0.585858585858586,159
133,8,2,8,0,143,0.6,0,1,6,0.166666666666667,0.597402597402597,0.368421052631579,154.833333333333
134,10,6,10,0,139,0.5625,0,2,3,0.2,0.516129032258065,0.414634146341463,152
135,7,4,4,0,119,0.533333333333333,0,4,4,0,0.6,0.417582417582418,152
136,2,11,2,0,148,0.615384615384615,0,6,8,0.166666666666667,0.494736842105263,0.446601941747573,154.833333333333
137,8,1,1,0,164,0.454545454545455,0,3,2,0.166666666666667,0.597402597402597,0.568181818181818,154.833333333333
138,6,7,7,0,148,0.272727272727273,0,3,4,0,0.610526315789474,0.585858585858586,147.333333333333
139,4,10,10,0,145,0.538461538461538,0,6,4,0.133333333333333,0.511904761904762,0.419753086419753,152
140,8,11,8,0,141,0.6875,0,3,8,0.142857142857143,0.597402597402597,0.446601941747573,159
